prompt,completion,train
<s>[INST] Provide details for the goal scored by Kristine Lilly of United States in the 1995 FIFA Women's World Cup match Japan vs United States on 1995-06-13 at the quarter-final stage.  [/INST],"The goal was scored by Kristine Lilly of United States in the 42' minute (first half) wearing shirt number 13 during the 1995 FIFA Women's World Cup match Japan vs United States on 1995-06-13 at the quarter-final stage. It was regular play. Minute of regulation: 42, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Tiffeny Milbrett of United States in the 1995 FIFA Women's World Cup match Japan vs United States on 1995-06-13 at the quarter-final stage.  [/INST],"The goal was scored by Tiffeny Milbrett of United States in the 45' minute (first half) wearing shirt number 16 during the 1995 FIFA Women's World Cup match Japan vs United States on 1995-06-13 at the quarter-final stage. It was regular play. Minute of regulation: 45, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Tisha Venturini of United States in the 1995 FIFA Women's World Cup match Japan vs United States on 1995-06-13 at the quarter-final stage.  [/INST],"The goal was scored by Tisha Venturini of United States in the 80' minute (second half) wearing shirt number 15 during the 1995 FIFA Women's World Cup match Japan vs United States on 1995-06-13 at the quarter-final stage. It was regular play. Minute of regulation: 80, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Gro Espeseth of Norway in the 1995 FIFA Women's World Cup match Norway vs Denmark on 1995-06-13 at the quarter-final stage.  [/INST],"The goal was scored by Gro Espeseth of Norway in the 21' minute (first half) wearing shirt number 3 during the 1995 FIFA Women's World Cup match Norway vs Denmark on 1995-06-13 at the quarter-final stage. It was regular play. Minute of regulation: 21, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Linda Medalen of Norway in the 1995 FIFA Women's World Cup match Norway vs Denmark on 1995-06-13 at the quarter-final stage.  [/INST],"The goal was scored by Linda Medalen of Norway in the 64' minute (second half) wearing shirt number 10 during the 1995 FIFA Women's World Cup match Norway vs Denmark on 1995-06-13 at the quarter-final stage. It was regular play. Minute of regulation: 64, minute of stoppage: 0.",evaluation
<s>[INST] Provide details for the goal scored by Hege Riise of Norway in the 1995 FIFA Women's World Cup match Norway vs Denmark on 1995-06-13 at the quarter-final stage.  [/INST],"The goal was scored by Hege Riise of Norway in the 85' minute (second half) wearing shirt number 6 during the 1995 FIFA Women's World Cup match Norway vs Denmark on 1995-06-13 at the quarter-final stage. It was regular play. Minute of regulation: 85, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Gitte Krogh of Denmark in the 1995 FIFA Women's World Cup match Norway vs Denmark on 1995-06-13 at the quarter-final stage.  [/INST],"The goal was scored by Gitte Krogh of Denmark in the 86' minute (second half) wearing shirt number 11 during the 1995 FIFA Women's World Cup match Norway vs Denmark on 1995-06-13 at the quarter-final stage. It was regular play. Minute of regulation: 86, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Martina Voss of Germany in the 1995 FIFA Women's World Cup match Germany vs England on 1995-06-13 at the quarter-final stage.  [/INST],"The goal was scored by Martina Voss of Germany in the 41' minute (first half) wearing shirt number 7 during the 1995 FIFA Women's World Cup match Germany vs England on 1995-06-13 at the quarter-final stage. It was regular play. Minute of regulation: 41, minute of stoppage: 0.",evaluation
<s>[INST] Provide details for the goal scored by Maren Meinert of Germany in the 1995 FIFA Women's World Cup match Germany vs England on 1995-06-13 at the quarter-final stage.  [/INST],"The goal was scored by Maren Meinert of Germany in the 55' minute (second half) wearing shirt number 6 during the 1995 FIFA Women's World Cup match Germany vs England on 1995-06-13 at the quarter-final stage. It was regular play. Minute of regulation: 55, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Heidi Mohr of Germany in the 1995 FIFA Women's World Cup match Germany vs England on 1995-06-13 at the quarter-final stage.  [/INST],"The goal was scored by Heidi Mohr of Germany in the 82' minute (second half) wearing shirt number 9 during the 1995 FIFA Women's World Cup match Germany vs England on 1995-06-13 at the quarter-final stage. It was regular play. Minute of regulation: 82, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Qingmei Sun of China in the 1995 FIFA Women's World Cup match Sweden vs China on 1995-06-13 at the quarter-final stage.  [/INST],"The goal was scored by Qingmei Sun of China in the 29' minute (first half) wearing shirt number 11 during the 1995 FIFA Women's World Cup match Sweden vs China on 1995-06-13 at the quarter-final stage. It was regular play. Minute of regulation: 29, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Ulrika Kalte of Sweden in the 1995 FIFA Women's World Cup match Sweden vs China on 1995-06-13 at the quarter-final stage.  [/INST],"The goal was scored by Ulrika Kalte of Sweden in the 90'+3' minute (second half, stoppage time) wearing shirt number 11 during the 1995 FIFA Women's World Cup match Sweden vs China on 1995-06-13 at the quarter-final stage. It was regular play. Minute of regulation: 90, minute of stoppage: 3.",train
<s>[INST] Provide details for the goal scored by Ann Kristin Aarønes of Norway in the 1995 FIFA Women's World Cup match United States vs Norway on 1995-06-15 at the semi-final stage.  [/INST],"The goal was scored by Ann Kristin Aarønes of Norway in the 10' minute (first half) wearing shirt number 11 during the 1995 FIFA Women's World Cup match United States vs Norway on 1995-06-15 at the semi-final stage. It was regular play. Minute of regulation: 10, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Bettina Wiegmann of Germany in the 1995 FIFA Women's World Cup match Germany vs China on 1995-06-15 at the semi-final stage.  [/INST],"The goal was scored by Bettina Wiegmann of Germany in the 88' minute (second half) wearing shirt number 8 during the 1995 FIFA Women's World Cup match Germany vs China on 1995-06-15 at the semi-final stage. It was regular play. Minute of regulation: 88, minute of stoppage: 0.",evaluation
<s>[INST] Provide details for the goal scored by Tisha Venturini of United States in the 1995 FIFA Women's World Cup match China vs United States on 1995-06-17 at the third-place match stage.  [/INST],"The goal was scored by Tisha Venturini of United States in the 24' minute (first half) wearing shirt number 15 during the 1995 FIFA Women's World Cup match China vs United States on 1995-06-17 at the third-place match stage. It was regular play. Minute of regulation: 24, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Mia Hamm of United States in the 1995 FIFA Women's World Cup match China vs United States on 1995-06-17 at the third-place match stage.  [/INST],"The goal was scored by Mia Hamm of United States in the 55' minute (second half) wearing shirt number 9 during the 1995 FIFA Women's World Cup match China vs United States on 1995-06-17 at the third-place match stage. It was regular play. Minute of regulation: 55, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Hege Riise of Norway in the 1995 FIFA Women's World Cup match Germany vs Norway on 1995-06-18 at the final stage.  [/INST],"The goal was scored by Hege Riise of Norway in the 37' minute (first half) wearing shirt number 6 during the 1995 FIFA Women's World Cup match Germany vs Norway on 1995-06-18 at the final stage. It was regular play. Minute of regulation: 37, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Marianne Pettersen of Norway in the 1995 FIFA Women's World Cup match Germany vs Norway on 1995-06-18 at the final stage.  [/INST],"The goal was scored by Marianne Pettersen of Norway in the 40' minute (first half) wearing shirt number 16 during the 1995 FIFA Women's World Cup match Germany vs Norway on 1995-06-18 at the final stage. It was regular play. Minute of regulation: 40, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by César Sampaio of Brazil in the 1998 FIFA Men's World Cup match Brazil vs Scotland on 1998-06-10 at the group stage stage.  [/INST],"The goal was scored by César Sampaio of Brazil in the 5' minute (first half) wearing shirt number 5 during the 1998 FIFA Men's World Cup match Brazil vs Scotland on 1998-06-10 at the group stage stage. It was regular play. Minute of regulation: 5, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by John Collins of Scotland in the 1998 FIFA Men's World Cup match Brazil vs Scotland on 1998-06-10 at the group stage stage.  [/INST],"The goal was scored by John Collins of Scotland in the 38' minute (first half) wearing shirt number 11 during the 1998 FIFA Men's World Cup match Brazil vs Scotland on 1998-06-10 at the group stage stage. It was a penalty. Minute of regulation: 38, minute of stoppage: 0.",evaluation
<s>[INST] Provide details for the goal scored by Tom Boyd of Brazil in the 1998 FIFA Men's World Cup match Brazil vs Scotland on 1998-06-10 at the group stage stage.  [/INST],"The goal was scored by Tom Boyd of Brazil in the 74' minute (second half) wearing shirt number 3 during the 1998 FIFA Men's World Cup match Brazil vs Scotland on 1998-06-10 at the group stage stage. It was an own goal. Minute of regulation: 74, minute of stoppage: 0.",evaluation
<s>[INST] Provide details for the goal scored by Mustapha Hadji of Morocco in the 1998 FIFA Men's World Cup match Morocco vs Norway on 1998-06-10 at the group stage stage.  [/INST],"The goal was scored by Mustapha Hadji of Morocco in the 37' minute (first half) wearing shirt number 7 during the 1998 FIFA Men's World Cup match Morocco vs Norway on 1998-06-10 at the group stage stage. It was regular play. Minute of regulation: 37, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Youssef Chippo of Norway in the 1998 FIFA Men's World Cup match Morocco vs Norway on 1998-06-10 at the group stage stage.  [/INST],"The goal was scored by Youssef Chippo of Norway in the 45'+1' minute (first half, stoppage time) wearing shirt number 18 during the 1998 FIFA Men's World Cup match Morocco vs Norway on 1998-06-10 at the group stage stage. It was an own goal. Minute of regulation: 45, minute of stoppage: 1.",train
<s>[INST] Provide details for the goal scored by Abdeljalil Hadda of Morocco in the 1998 FIFA Men's World Cup match Morocco vs Norway on 1998-06-10 at the group stage stage.  [/INST],"The goal was scored by Abdeljalil Hadda of Morocco in the 60' minute (second half) wearing shirt number 9 during the 1998 FIFA Men's World Cup match Morocco vs Norway on 1998-06-10 at the group stage stage. It was regular play. Minute of regulation: 60, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Dan Eggen of Norway in the 1998 FIFA Men's World Cup match Morocco vs Norway on 1998-06-10 at the group stage stage.  [/INST],"The goal was scored by Dan Eggen of Norway in the 61' minute (second half) wearing shirt number 15 during the 1998 FIFA Men's World Cup match Morocco vs Norway on 1998-06-10 at the group stage stage. It was regular play. Minute of regulation: 61, minute of stoppage: 0.",evaluation
<s>[INST] Provide details for the goal scored by Christian Vieri of Italy in the 1998 FIFA Men's World Cup match Italy vs Chile on 1998-06-11 at the group stage stage.  [/INST],"The goal was scored by Christian Vieri of Italy in the 10' minute (first half) wearing shirt number 21 during the 1998 FIFA Men's World Cup match Italy vs Chile on 1998-06-11 at the group stage stage. It was regular play. Minute of regulation: 10, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Marcelo Salas of Chile in the 1998 FIFA Men's World Cup match Italy vs Chile on 1998-06-11 at the group stage stage.  [/INST],"The goal was scored by Marcelo Salas of Chile in the 45'+3' minute (first half, stoppage time) wearing shirt number 11 during the 1998 FIFA Men's World Cup match Italy vs Chile on 1998-06-11 at the group stage stage. It was regular play. Minute of regulation: 45, minute of stoppage: 3.",train
<s>[INST] Provide details for the goal scored by Marcelo Salas of Chile in the 1998 FIFA Men's World Cup match Italy vs Chile on 1998-06-11 at the group stage stage.  [/INST],"The goal was scored by Marcelo Salas of Chile in the 50' minute (second half) wearing shirt number 11 during the 1998 FIFA Men's World Cup match Italy vs Chile on 1998-06-11 at the group stage stage. It was regular play. Minute of regulation: 50, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Roberto Baggio of Italy in the 1998 FIFA Men's World Cup match Italy vs Chile on 1998-06-11 at the group stage stage.  [/INST],"The goal was scored by Roberto Baggio of Italy in the 84' minute (second half) wearing shirt number 18 during the 1998 FIFA Men's World Cup match Italy vs Chile on 1998-06-11 at the group stage stage. It was a penalty. Minute of regulation: 84, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Pierre Njanka of Cameroon in the 1998 FIFA Men's World Cup match Cameroon vs Austria on 1998-06-11 at the group stage stage.  [/INST],"The goal was scored by Pierre Njanka of Cameroon in the 77' minute (second half) wearing shirt number 6 during the 1998 FIFA Men's World Cup match Cameroon vs Austria on 1998-06-11 at the group stage stage. It was regular play. Minute of regulation: 77, minute of stoppage: 0.",evaluation
<s>[INST] Provide details for the goal scored by Toni Polster of Austria in the 1998 FIFA Men's World Cup match Cameroon vs Austria on 1998-06-11 at the group stage stage.  [/INST],"The goal was scored by Toni Polster of Austria in the 90'+1' minute (second half, stoppage time) wearing shirt number 19 during the 1998 FIFA Men's World Cup match Cameroon vs Austria on 1998-06-11 at the group stage stage. It was regular play. Minute of regulation: 90, minute of stoppage: 1.",evaluation
<s>[INST] Provide details for the goal scored by Marc Rieper of Denmark in the 1998 FIFA Men's World Cup match Saudi Arabia vs Denmark on 1998-06-12 at the group stage stage.  [/INST],"The goal was scored by Marc Rieper of Denmark in the 69' minute (second half) wearing shirt number 3 during the 1998 FIFA Men's World Cup match Saudi Arabia vs Denmark on 1998-06-12 at the group stage stage. It was regular play. Minute of regulation: 69, minute of stoppage: 0.",evaluation
<s>[INST] Provide details for the goal scored by Christophe Dugarry of France in the 1998 FIFA Men's World Cup match France vs South Africa on 1998-06-12 at the group stage stage.  [/INST],"The goal was scored by Christophe Dugarry of France in the 35' minute (first half) wearing shirt number 21 during the 1998 FIFA Men's World Cup match France vs South Africa on 1998-06-12 at the group stage stage. It was regular play. Minute of regulation: 35, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Pierre Issa of France in the 1998 FIFA Men's World Cup match France vs South Africa on 1998-06-12 at the group stage stage.  [/INST],"The goal was scored by Pierre Issa of France in the 77' minute (second half) wearing shirt number 21 during the 1998 FIFA Men's World Cup match France vs South Africa on 1998-06-12 at the group stage stage. It was an own goal. Minute of regulation: 77, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Thierry Henry of France in the 1998 FIFA Men's World Cup match France vs South Africa on 1998-06-12 at the group stage stage.  [/INST],"The goal was scored by Thierry Henry of France in the 90'+2' minute (second half, stoppage time) wearing shirt number 12 during the 1998 FIFA Men's World Cup match France vs South Africa on 1998-06-12 at the group stage stage. It was regular play. Minute of regulation: 90, minute of stoppage: 2.",evaluation
<s>[INST] Provide details for the goal scored by Fernando Hierro of Spain in the 1998 FIFA Men's World Cup match Spain vs Nigeria on 1998-06-13 at the group stage stage.  [/INST],"The goal was scored by Fernando Hierro of Spain in the 21' minute (first half) wearing shirt number 6 during the 1998 FIFA Men's World Cup match Spain vs Nigeria on 1998-06-13 at the group stage stage. It was regular play. Minute of regulation: 21, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Mutiu Adepoju of Nigeria in the 1998 FIFA Men's World Cup match Spain vs Nigeria on 1998-06-13 at the group stage stage.  [/INST],"The goal was scored by Mutiu Adepoju of Nigeria in the 24' minute (first half) wearing shirt number 8 during the 1998 FIFA Men's World Cup match Spain vs Nigeria on 1998-06-13 at the group stage stage. It was regular play. Minute of regulation: 24, minute of stoppage: 0.",evaluation
<s>[INST] Provide details for the goal scored by not applicable Raúl of Spain in the 1998 FIFA Men's World Cup match Spain vs Nigeria on 1998-06-13 at the group stage stage.  [/INST],"The goal was scored by not applicable Raúl of Spain in the 47' minute (second half) wearing shirt number 10 during the 1998 FIFA Men's World Cup match Spain vs Nigeria on 1998-06-13 at the group stage stage. It was regular play. Minute of regulation: 47, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Andoni Zubizarreta of Nigeria in the 1998 FIFA Men's World Cup match Spain vs Nigeria on 1998-06-13 at the group stage stage.  [/INST],"The goal was scored by Andoni Zubizarreta of Nigeria in the 73' minute (second half) wearing shirt number 1 during the 1998 FIFA Men's World Cup match Spain vs Nigeria on 1998-06-13 at the group stage stage. It was an own goal. Minute of regulation: 73, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Sunday Oliseh of Nigeria in the 1998 FIFA Men's World Cup match Spain vs Nigeria on 1998-06-13 at the group stage stage.  [/INST],"The goal was scored by Sunday Oliseh of Nigeria in the 78' minute (second half) wearing shirt number 15 during the 1998 FIFA Men's World Cup match Spain vs Nigeria on 1998-06-13 at the group stage stage. It was regular play. Minute of regulation: 78, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Seok-ju Ha of South Korea in the 1998 FIFA Men's World Cup match South Korea vs Mexico on 1998-06-13 at the group stage stage.  [/INST],"The goal was scored by Seok-ju Ha of South Korea in the 27' minute (first half) wearing shirt number 17 during the 1998 FIFA Men's World Cup match South Korea vs Mexico on 1998-06-13 at the group stage stage. It was regular play. Minute of regulation: 27, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Ricardo Peláez of Mexico in the 1998 FIFA Men's World Cup match South Korea vs Mexico on 1998-06-13 at the group stage stage.  [/INST],"The goal was scored by Ricardo Peláez of Mexico in the 50' minute (second half) wearing shirt number 9 during the 1998 FIFA Men's World Cup match South Korea vs Mexico on 1998-06-13 at the group stage stage. It was regular play. Minute of regulation: 50, minute of stoppage: 0.",evaluation
<s>[INST] Provide details for the goal scored by Luis Hernández of Mexico in the 1998 FIFA Men's World Cup match South Korea vs Mexico on 1998-06-13 at the group stage stage.  [/INST],"The goal was scored by Luis Hernández of Mexico in the 75' minute (second half) wearing shirt number 15 during the 1998 FIFA Men's World Cup match South Korea vs Mexico on 1998-06-13 at the group stage stage. It was regular play. Minute of regulation: 75, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Luis Hernández of Mexico in the 1998 FIFA Men's World Cup match South Korea vs Mexico on 1998-06-13 at the group stage stage.  [/INST],"The goal was scored by Luis Hernández of Mexico in the 84' minute (second half) wearing shirt number 15 during the 1998 FIFA Men's World Cup match South Korea vs Mexico on 1998-06-13 at the group stage stage. It was regular play. Minute of regulation: 84, minute of stoppage: 0.",evaluation
<s>[INST] Provide details for the goal scored by Gabriel Batistuta of Argentina in the 1998 FIFA Men's World Cup match Argentina vs Japan on 1998-06-14 at the group stage stage.  [/INST],"The goal was scored by Gabriel Batistuta of Argentina in the 28' minute (first half) wearing shirt number 9 during the 1998 FIFA Men's World Cup match Argentina vs Japan on 1998-06-14 at the group stage stage. It was regular play. Minute of regulation: 28, minute of stoppage: 0.",evaluation
<s>[INST] Provide details for the goal scored by Siniša Mihajlović of Yugoslavia in the 1998 FIFA Men's World Cup match Yugoslavia vs Iran on 1998-06-14 at the group stage stage.  [/INST],"The goal was scored by Siniša Mihajlović of Yugoslavia in the 73' minute (second half) wearing shirt number 11 during the 1998 FIFA Men's World Cup match Yugoslavia vs Iran on 1998-06-14 at the group stage stage. It was regular play. Minute of regulation: 73, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Mario Stanić of Croatia in the 1998 FIFA Men's World Cup match Jamaica vs Croatia on 1998-06-14 at the group stage stage.  [/INST],"The goal was scored by Mario Stanić of Croatia in the 27' minute (first half) wearing shirt number 13 during the 1998 FIFA Men's World Cup match Jamaica vs Croatia on 1998-06-14 at the group stage stage. It was regular play. Minute of regulation: 27, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Robbie Earle of Jamaica in the 1998 FIFA Men's World Cup match Jamaica vs Croatia on 1998-06-14 at the group stage stage.  [/INST],"The goal was scored by Robbie Earle of Jamaica in the 45' minute (first half) wearing shirt number 16 during the 1998 FIFA Men's World Cup match Jamaica vs Croatia on 1998-06-14 at the group stage stage. It was regular play. Minute of regulation: 45, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Robert Prosinečki of Croatia in the 1998 FIFA Men's World Cup match Jamaica vs Croatia on 1998-06-14 at the group stage stage.  [/INST],"The goal was scored by Robert Prosinečki of Croatia in the 53' minute (second half) wearing shirt number 8 during the 1998 FIFA Men's World Cup match Jamaica vs Croatia on 1998-06-14 at the group stage stage. It was regular play. Minute of regulation: 53, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Davor Šuker of Croatia in the 1998 FIFA Men's World Cup match Jamaica vs Croatia on 1998-06-14 at the group stage stage.  [/INST],"The goal was scored by Davor Šuker of Croatia in the 69' minute (second half) wearing shirt number 9 during the 1998 FIFA Men's World Cup match Jamaica vs Croatia on 1998-06-14 at the group stage stage. It was regular play. Minute of regulation: 69, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Alan Shearer of England in the 1998 FIFA Men's World Cup match England vs Tunisia on 1998-06-15 at the group stage stage.  [/INST],"The goal was scored by Alan Shearer of England in the 42' minute (first half) wearing shirt number 9 during the 1998 FIFA Men's World Cup match England vs Tunisia on 1998-06-15 at the group stage stage. It was regular play. Minute of regulation: 42, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Paul Scholes of England in the 1998 FIFA Men's World Cup match England vs Tunisia on 1998-06-15 at the group stage stage.  [/INST],"The goal was scored by Paul Scholes of England in the 89' minute (second half) wearing shirt number 16 during the 1998 FIFA Men's World Cup match England vs Tunisia on 1998-06-15 at the group stage stage. It was regular play. Minute of regulation: 89, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Adrian Ilie of Romania in the 1998 FIFA Men's World Cup match Romania vs Colombia on 1998-06-15 at the group stage stage.  [/INST],"The goal was scored by Adrian Ilie of Romania in the 45'+1' minute (first half, stoppage time) wearing shirt number 11 during the 1998 FIFA Men's World Cup match Romania vs Colombia on 1998-06-15 at the group stage stage. It was regular play. Minute of regulation: 45, minute of stoppage: 1.",train
<s>[INST] Provide details for the goal scored by Andreas Möller of Germany in the 1998 FIFA Men's World Cup match Germany vs United States on 1998-06-15 at the group stage stage.  [/INST],"The goal was scored by Andreas Möller of Germany in the 9' minute (first half) wearing shirt number 7 during the 1998 FIFA Men's World Cup match Germany vs United States on 1998-06-15 at the group stage stage. It was regular play. Minute of regulation: 9, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Jürgen Klinsmann of Germany in the 1998 FIFA Men's World Cup match Germany vs United States on 1998-06-15 at the group stage stage.  [/INST],"The goal was scored by Jürgen Klinsmann of Germany in the 65' minute (second half) wearing shirt number 18 during the 1998 FIFA Men's World Cup match Germany vs United States on 1998-06-15 at the group stage stage. It was regular play. Minute of regulation: 65, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Håvard Flo of Norway in the 1998 FIFA Men's World Cup match Scotland vs Norway on 1998-06-16 at the group stage stage.  [/INST],"The goal was scored by Håvard Flo of Norway in the 46' minute (second half) wearing shirt number 17 during the 1998 FIFA Men's World Cup match Scotland vs Norway on 1998-06-16 at the group stage stage. It was regular play. Minute of regulation: 46, minute of stoppage: 0.",evaluation
<s>[INST] Provide details for the goal scored by Craig Burley of Scotland in the 1998 FIFA Men's World Cup match Scotland vs Norway on 1998-06-16 at the group stage stage.  [/INST],"The goal was scored by Craig Burley of Scotland in the 66' minute (second half) wearing shirt number 8 during the 1998 FIFA Men's World Cup match Scotland vs Norway on 1998-06-16 at the group stage stage. It was regular play. Minute of regulation: 66, minute of stoppage: 0.",evaluation
<s>[INST] Provide details for the goal scored by not applicable Ronaldo of Brazil in the 1998 FIFA Men's World Cup match Brazil vs Morocco on 1998-06-16 at the group stage stage.  [/INST],"The goal was scored by not applicable Ronaldo of Brazil in the 9' minute (first half) wearing shirt number 9 during the 1998 FIFA Men's World Cup match Brazil vs Morocco on 1998-06-16 at the group stage stage. It was regular play. Minute of regulation: 9, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by not applicable Rivaldo of Brazil in the 1998 FIFA Men's World Cup match Brazil vs Morocco on 1998-06-16 at the group stage stage.  [/INST],"The goal was scored by not applicable Rivaldo of Brazil in the 45'+2' minute (first half, stoppage time) wearing shirt number 10 during the 1998 FIFA Men's World Cup match Brazil vs Morocco on 1998-06-16 at the group stage stage. It was regular play. Minute of regulation: 45, minute of stoppage: 2.",train
<s>[INST] Provide details for the goal scored by not applicable Bebeto of Brazil in the 1998 FIFA Men's World Cup match Brazil vs Morocco on 1998-06-16 at the group stage stage.  [/INST],"The goal was scored by not applicable Bebeto of Brazil in the 50' minute (second half) wearing shirt number 20 during the 1998 FIFA Men's World Cup match Brazil vs Morocco on 1998-06-16 at the group stage stage. It was regular play. Minute of regulation: 50, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Marcelo Salas of Chile in the 1998 FIFA Men's World Cup match Chile vs Austria on 1998-06-17 at the group stage stage.  [/INST],"The goal was scored by Marcelo Salas of Chile in the 70' minute (second half) wearing shirt number 11 during the 1998 FIFA Men's World Cup match Chile vs Austria on 1998-06-17 at the group stage stage. It was regular play. Minute of regulation: 70, minute of stoppage: 0.",evaluation
<s>[INST] Provide details for the goal scored by Ivica Vastić of Austria in the 1998 FIFA Men's World Cup match Chile vs Austria on 1998-06-17 at the group stage stage.  [/INST],"The goal was scored by Ivica Vastić of Austria in the 90'+2' minute (second half, stoppage time) wearing shirt number 9 during the 1998 FIFA Men's World Cup match Chile vs Austria on 1998-06-17 at the group stage stage. It was regular play. Minute of regulation: 90, minute of stoppage: 2.",evaluation
<s>[INST] Provide details for the goal scored by Luigi Di Biagio of Italy in the 1998 FIFA Men's World Cup match Italy vs Cameroon on 1998-06-17 at the group stage stage.  [/INST],"The goal was scored by Luigi Di Biagio of Italy in the 7' minute (first half) wearing shirt number 14 during the 1998 FIFA Men's World Cup match Italy vs Cameroon on 1998-06-17 at the group stage stage. It was regular play. Minute of regulation: 7, minute of stoppage: 0.",evaluation
<s>[INST] Provide details for the goal scored by Christian Vieri of Italy in the 1998 FIFA Men's World Cup match Italy vs Cameroon on 1998-06-17 at the group stage stage.  [/INST],"The goal was scored by Christian Vieri of Italy in the 75' minute (second half) wearing shirt number 21 during the 1998 FIFA Men's World Cup match Italy vs Cameroon on 1998-06-17 at the group stage stage. It was regular play. Minute of regulation: 75, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Christian Vieri of Italy in the 1998 FIFA Men's World Cup match Italy vs Cameroon on 1998-06-17 at the group stage stage.  [/INST],"The goal was scored by Christian Vieri of Italy in the 89' minute (second half) wearing shirt number 21 during the 1998 FIFA Men's World Cup match Italy vs Cameroon on 1998-06-17 at the group stage stage. It was regular play. Minute of regulation: 89, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Allan Nielsen of Denmark in the 1998 FIFA Men's World Cup match South Africa vs Denmark on 1998-06-18 at the group stage stage.  [/INST],"The goal was scored by Allan Nielsen of Denmark in the 12' minute (first half) wearing shirt number 7 during the 1998 FIFA Men's World Cup match South Africa vs Denmark on 1998-06-18 at the group stage stage. It was regular play. Minute of regulation: 12, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Benni McCarthy of South Africa in the 1998 FIFA Men's World Cup match South Africa vs Denmark on 1998-06-18 at the group stage stage.  [/INST],"The goal was scored by Benni McCarthy of South Africa in the 51' minute (second half) wearing shirt number 17 during the 1998 FIFA Men's World Cup match South Africa vs Denmark on 1998-06-18 at the group stage stage. It was regular play. Minute of regulation: 51, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Thierry Henry of France in the 1998 FIFA Men's World Cup match France vs Saudi Arabia on 1998-06-18 at the group stage stage.  [/INST],"The goal was scored by Thierry Henry of France in the 37' minute (first half) wearing shirt number 12 during the 1998 FIFA Men's World Cup match France vs Saudi Arabia on 1998-06-18 at the group stage stage. It was regular play. Minute of regulation: 37, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by David Trezeguet of France in the 1998 FIFA Men's World Cup match France vs Saudi Arabia on 1998-06-18 at the group stage stage.  [/INST],"The goal was scored by David Trezeguet of France in the 68' minute (second half) wearing shirt number 20 during the 1998 FIFA Men's World Cup match France vs Saudi Arabia on 1998-06-18 at the group stage stage. It was regular play. Minute of regulation: 68, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Thierry Henry of France in the 1998 FIFA Men's World Cup match France vs Saudi Arabia on 1998-06-18 at the group stage stage.  [/INST],"The goal was scored by Thierry Henry of France in the 78' minute (second half) wearing shirt number 12 during the 1998 FIFA Men's World Cup match France vs Saudi Arabia on 1998-06-18 at the group stage stage. It was regular play. Minute of regulation: 78, minute of stoppage: 0.",train
